,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime,round
711,2011,Hungarian Grand Prix,maldonado,williams,13,17,16,16,0.0,68,,,56,183.981,+2 Laps,1:25.724,11
712,2011,Hungarian Grand Prix,glock,virgin,,20,17,17,0.0,66,,,59,179.177,+4 Laps,1:28.022,11
713,2011,Hungarian Grand Prix,ricciardo,hrt,3,22,18,18,0.0,66,,,62,177.456,+4 Laps,1:28.876,11
714,2011,Hungarian Grand Prix,ambrosio,virgin,,24,19,19,0.0,65,,,58,177.073,+5 Laps,1:29.068,11
715,2011,Hungarian Grand Prix,liuzzi,hrt,,21,20,20,0.0,65,,,53,176.795,+5 Laps,1:29.208,11
716,2011,Hungarian Grand Prix,kovalainen,lotus_racing,,18,21,R,0.0,55,,,54,180.972,Water leak,1:27.149,11
717,2011,Hungarian Grand Prix,michael_schumacher,mercedes,,9,22,R,0.0,26,,,19,175.667,Gearbox,1:29.781,11
718,2011,Hungarian Grand Prix,heidfeld,renault,,14,23,R,0.0,23,,,19,173.646,Heat shield fire,1:30.826,11
719,2011,Hungarian Grand Prix,trulli,lotus_racing,,19,24,R,0.0,17,,,16,165.577,Oil leak,1:35.252,11
720,2011,Belgian Grand Prix,vettel,red_bull,5,1,1,1,25.0,44,1:26:44.893,5204893,36,228.285,Finished,1:50.451,12
721,2011,Belgian Grand Prix,webber,red_bull,,3,2,2,18.0,44,+3.741,5208634,33,229.465,Finished,1:49.883,12
722,2011,Belgian Grand Prix,button,mclaren,22,13,3,3,15.0,44,+9.669,5214562,39,229.092,Finished,1:50.062,12
723,2011,Belgian Grand Prix,alonso,ferrari,14,8,4,4,12.0,44,+13.022,5217915,41,226.937,Finished,1:51.107,12
724,2011,Belgian Grand Prix,michael_schumacher,mercedes,,24,5,5,10.0,44,+47.464,5252357,34,226.876,Finished,1:51.137,12
725,2011,Belgian Grand Prix,rosberg,mercedes,6,5,6,6,8.0,44,+48.674,5253567,39,224.601,Finished,1:52.263,12
726,2011,Belgian Grand Prix,sutil,force_india,99,15,7,7,6.0,44,+59.713,5264606,33,223.946,Finished,1:52.591,12
727,2011,Belgian Grand Prix,massa,ferrari,19,4,8,8,4.0,44,+1:06.076,5270969,42,226.008,Finished,1:51.564,12
728,2011,Belgian Grand Prix,petrov,renault,,10,9,9,2.0,44,+1:11.917,5276810,34,224.263,Finished,1:52.432,12
729,2011,Belgian Grand Prix,maldonado,williams,13,21,10,10,1.0,44,+1:17.615,5282508,43,222.423,Finished,1:53.362,12
730,2011,Belgian Grand Prix,resta,force_india,,17,11,11,0.0,44,+1:23.994,5288887,32,222.696,Finished,1:53.223,12
731,2011,Belgian Grand Prix,kobayashi,sauber,10,12,12,12,0.0,44,+1:31.976,5296869,35,221.429,Finished,1:53.871,12
732,2011,Belgian Grand Prix,bruno_senna,renault,,7,13,13,0.0,44,+1:32.985,5297878,39,221.987,Finished,1:53.585,12
733,2011,Belgian Grand Prix,trulli,lotus_racing,,18,14,14,0.0,43,,,38,220.076,+1 Lap,1:54.571,12
734,2011,Belgian Grand Prix,kovalainen,lotus_racing,,16,15,15,0.0,43,,,35,221.080,+1 Lap,1:54.051,12
735,2011,Belgian Grand Prix,barrichello,williams,,14,16,16,0.0,43,,,42,228.341,+1 Lap,1:50.424,12
736,2011,Belgian Grand Prix,ambrosio,virgin,,20,17,17,0.0,43,,,38,216.769,+1 Lap,1:56.319,12
737,2011,Belgian Grand Prix,glock,virgin,,19,18,18,0.0,43,,,37,216.358,+1 Lap,1:56.540,12
738,2011,Belgian Grand Prix,liuzzi,hrt,,22,19,19,0.0,43,,,42,213.570,+1 Lap,1:58.061,12
739,2011,Belgian Grand Prix,perez,sauber,11,9,20,R,0.0,27,,,26,220.706,Suspension,1:54.244,12
740,2011,Belgian Grand Prix,ricciardo,hrt,3,23,21,R,0.0,13,,,10,210.416,Engine,1:59.831,12
741,2011,Belgian Grand Prix,hamilton,mclaren,44,2,22,R,0.0,12,,,8,218.029,Collision,1:55.647,12
742,2011,Belgian Grand Prix,buemi,toro_rosso,,11,23,R,0.0,6,,,4,215.895,Rear wing,1:56.790,12
743,2011,Belgian Grand Prix,alguersuari,toro_rosso,,6,24,R,0.0,0,,,,,Collision,,12
744,2011,Italian Grand Prix,vettel,red_bull,5,1,1,1,25.0,53,1:20:46.172,4846172,49,240.937,Finished,1:26.557,13
745,2011,Italian Grand Prix,button,mclaren,22,3,2,2,18.0,53,+9.590,4855762,52,241.915,Finished,1:26.207,13
746,2011,Italian Grand Prix,alonso,ferrari,14,4,3,3,15.0,53,+16.909,4863081,50,239.185,Finished,1:27.191,13
747,2011,Italian Grand Prix,hamilton,mclaren,44,2,4,4,12.0,53,+17.417,4863589,52,241.971,Finished,1:26.187,13
748,2011,Italian Grand Prix,michael_schumacher,mercedes,,8,5,5,10.0,53,+32.677,4878849,46,238.607,Finished,1:27.402,13
