year,round,raceId,constructorId,statusId,points
2021,5,Monaco Grand Prix,alphatauri,Finished,8.0
2021,5,Monaco Grand Prix,alpine,+1 Lap,2.0
2021,5,Monaco Grand Prix,aston_martin,+1 Lap,4.0
2021,5,Monaco Grand Prix,aston_martin,Finished,10.0
2021,5,Monaco Grand Prix,ferrari,Driveshaft,0.0
2021,5,Monaco Grand Prix,ferrari,Finished,18.0
2021,5,Monaco Grand Prix,haas,+3 Laps,0.0
2021,5,Monaco Grand Prix,mclaren,+1 Lap,0.0
2021,5,Monaco Grand Prix,mclaren,Finished,15.0
2021,5,Monaco Grand Prix,mercedes,Finished,7.0
2021,5,Monaco Grand Prix,mercedes,Wheel nut,0.0
2021,5,Monaco Grand Prix,red_bull,Finished,37.0
2021,5,Monaco Grand Prix,williams,+1 Lap,0.0
2021,6,Azerbaijan Grand Prix,alfa,Finished,1.0
2021,6,Azerbaijan Grand Prix,alphatauri,Finished,21.0
2021,6,Azerbaijan Grand Prix,alpine,Finished,8.0
2021,6,Azerbaijan Grand Prix,alpine,Turbo,0.0
2021,6,Azerbaijan Grand Prix,aston_martin,Accident,0.0
2021,6,Azerbaijan Grand Prix,aston_martin,Finished,18.0
2021,6,Azerbaijan Grand Prix,ferrari,Finished,16.0
2021,6,Azerbaijan Grand Prix,haas,Finished,0.0
2021,6,Azerbaijan Grand Prix,mclaren,Finished,12.0
2021,6,Azerbaijan Grand Prix,mercedes,Finished,0.0
2021,6,Azerbaijan Grand Prix,red_bull,Accident,0.0
2021,6,Azerbaijan Grand Prix,red_bull,Finished,25.0
2021,6,Azerbaijan Grand Prix,williams,Finished,0.0
2021,6,Azerbaijan Grand Prix,williams,Gearbox,0.0
2021,7,French Grand Prix,alfa,+1 Lap,0.0
2021,7,French Grand Prix,alphatauri,+1 Lap,0.0
2021,7,French Grand Prix,alphatauri,Finished,6.0
2021,7,French Grand Prix,alpine,+1 Lap,0.0
2021,7,French Grand Prix,alpine,Finished,4.0
2021,7,French Grand Prix,aston_martin,Finished,3.0
2021,7,French Grand Prix,ferrari,+1 Lap,0.0
2021,7,French Grand Prix,ferrari,Finished,0.0
2021,7,French Grand Prix,haas,+1 Lap,0.0
2021,7,French Grand Prix,mclaren,Finished,18.0
2021,7,French Grand Prix,mercedes,Finished,30.0
2021,7,French Grand Prix,red_bull,Finished,41.0
2021,7,French Grand Prix,williams,+1 Lap,0.0
